Tweets,Sentiment
Spring breaker apologies for saying he didn't care if he got corona https://t.co/cRd4KhT9w6,Neutral
"Corona searches ""crashing"" https://t.co/zx0MQ5bb4L",Neutral
I can’t even sneeze anymore without people thinking I got corona virus like bro allergies is a thing,Neutral
"RT @VellarAngaya: Have you realized that the Corona Virus has put mankind on one plate?

There is nothing like race, class, language, tribe…",Neutral
"RT @AntonCountrySup: UK coronavirus live: Prince Charles tests positive for Covid-19 https://t.co/IFXbDHl0SY 

@DrJimmyStar #CountrySuper #…",Positive
"RT @AllahGreatQuran: R  A  M  A  D  A  N  🌙
I  S
C  O  M  I  N  G . . .  💞
.
.

May Allah ﷻ allow us to reach the month of Ramadan &amp; may ou…",Neutral
"RT @NevilleSouthall: Here is my corona virus message 
❤️❤️❤️ https://t.co/nwPvJoec2d",Neutral
"RT @VellarAngaya: How many have been following the chronology of these Teachings since they Began?

What have you learned so far so far on…",Positive
RT @AndyJehan: Really proud of our team across the four #PDFS Group depots who continue to operate as normal.    Can't tell you how disappo…,Positive
RT @brownandboujiee: My mum has a PhD on Corona Virus from WhatsApp University,Neutral
"@DeItaOne is to say that Americans cannot pronounce corona virus or covi-19, therefore he makes it easy calling the ""Chinese virus""?",Positive
"RT @bankers_we: https://t.co/11t2cZOIIp
@IOBIndia @nsitharaman @narendramodi @DFS_India @IBA_org_in
IOB Chief Regional Manager Meerut scold…",Neutral
RT @ashokgehlot51: Holding a video conference with core group &amp; war room officials at residence to review the situation across state regard…,Neutral
@NYGovCuomo people with corona who get sick their lungs get full with fluid without breathing equipment you cant do anything... that equipment is the life saver with corona.... you better hurry,Positive
@ihatecele #womenempowerment #WomenIsABurden #fakefemnism dangerous than corona. Stop it else we can never bare it,Negative
